AT,DVT,ED,ED-DVT,Δ,Δ-DVT,NEO,NEO-DVT
8.205761519301951745e-01,7.890797454832826352e-01,8.693720237007078744e-01,8.953542318117820864e-01,8.811521171518499340e-01,8.761553385243732173e-01,8.816589111587007643e-01,9.085184265970538409e-01
8.117600533946189856e-01,7.792167383897570243e-01,8.690470387183224510e-01,8.948546589000535567e-01,8.790651403954521381e-01,8.728568970630590229e-01,8.803533460404192601e-01,9.071776555742695480e-01
8.030571196709805903e-01,7.694385315524776559e-01,8.687923049580935642e-01,8.946917002936176644e-01,8.772985964312137730e-01,8.696647055999908726e-01,8.791033252429771849e-01,9.057838982711732267e-01
7.943148089771661091e-01,7.597541499342506111e-01,8.684290774798035795e-01,8.942568158447230520e-01,8.755649302156940372e-01,8.663353284226514850e-01,8.779216530886582159e-01,9.045320824040610219e-01
7.844493030222410290e-01,7.494859635987975999e-01,8.681018951798589178e-01,8.938945973404026635e-01,8.738665851303423215e-01,8.640104213878252448e-01,8.770264841249693077e-01,9.035301346336174211e-01
7.747701383096752270e-01,7.391519481313428841e-01,8.678147154570590160e-01,8.935277492339037675e-01,8.723844876506835488e-01,8.614664787905327303e-01,8.759166243365911209e-01,9.024572824841725627e-01
7.654638544777583320e-01,7.291861975296139997e-01,8.674902073894762422e-01,8.933087929129850391e-01,8.713261093971991222e-01,8.588936764319057282e-01,8.747529100125648327e-01,9.012753865917619844e-01
7.549778376104758770e-01,7.186683603427608258e-01,8.669709489140027259e-01,8.926324284938282894e-01,8.701442901927214368e-01,8.563867425220901275e-01,8.738739356182010365e-01,9.003070814992857329e-01
7.447244666969099480e-01,7.086942792260806367e-01,8.665395661709529573e-01,8.921677921780207798e-01,8.692300907701941970e-01,8.541004534461607012e-01,8.724756204668758786e-01,8.989282983368382940e-01
7.352801670640989329e-01,6.991668907375517827e-01,8.661957885825311010e-01,8.917182880296349312e-01,8.679248819474078003e-01,8.512813991265513192e-01,8.713826974044887042e-01,8.977991540787110258e-01
7.241523921455566004e-01,6.885789239320511124e-01,8.657096604799214834e-01,8.914604613024424973e-01,8.667982702876134704e-01,8.486723533738665948e-01,8.702719784307557660e-01,8.967242304021285637e-01
7.130588575172169818e-01,6.775954522328548890e-01,8.650286464500852590e-01,8.908549150753566348e-01,8.655831334142933819e-01,8.457504008679440632e-01,8.692831436240895382e-01,8.957001104411637105e-01
7.029520125008031917e-01,6.680955452952455076e-01,8.646123578091468032e-01,8.904315856438052013e-01,8.642957284188419464e-01,8.426920314380861310e-01,8.683855630843709816e-01,8.946954269615010613e-01
6.919995566791495856e-01,6.576042076201040754e-01,8.640905777259246801e-01,8.898051598163225773e-01,8.631344657551960342e-01,8.399956477031941260e-01,8.675779562856593685e-01,8.938157566350855010e-01
6.803349819188908576e-01,6.464063742352250674e-01,8.634455893849543040e-01,8.890397454684082490e-01,8.617567679095528010e-01,8.375442213300056116e-01,8.666816876950569348e-01,8.928126847358095475e-01
6.697945582602166104e-01,6.363222064918558907e-01,8.629615345562320350e-01,8.887175863926370933e-01,8.605040832027931463e-01,8.345856147185470864e-01,8.656930897429407912e-01,8.918251373401809845e-01
6.588036992915728973e-01,6.256115840439999687e-01,8.623516575388160410e-01,8.879460931998268691e-01,8.584836360609242600e-01,8.315058024852183260e-01,8.645453112164144249e-01,8.906062246305006536e-01
